pipeline,threshold,mean_ftc,std_ftc,min_ftc,max_ftc,n_pairs
hybrid,1,0.384,0.014,0.350,0.415,45
hybrid,2,0.465,0.013,0.437,0.489,45
hybrid,3,0.520,0.020,0.483,0.553,45
hybrid,5,0.596,0.021,0.549,0.644,45
hybrid,10,0.611,0.035,0.529,0.679,45
hybrid,20,0.486,0.101,0.230,0.660,45
baseline,1,0.464,0.005,0.449,0.476,45
baseline,2,0.533,0.008,0.521,0.550,45
baseline,3,0.572,0.007,0.555,0.589,45
baseline,5,0.616,0.008,0.590,0.639,45
baseline,10,0.665,0.009,0.640,0.679,45
baseline,20,0.760,0.011,0.739,0.784,45
