pipeline,threshold_pct,mean_ftc,std_ftc,min_ftc,max_ftc,n_pairs
hybrid,0.1,0.384,0.014,0.350,0.415,45
hybrid,0.5,0.384,0.014,0.350,0.415,45
hybrid,1.0,0.465,0.013,0.437,0.489,45
hybrid,2.0,0.537,0.027,0.487,0.598,45
hybrid,5.0,0.625,0.031,0.560,0.691,45
hybrid,7.5,0.605,0.042,0.529,0.685,45
hybrid,10.0,0.565,0.049,0.442,0.671,45
hybrid,15.0,0.401,0.108,0.170,0.594,45
baseline,0.1,0.450,0.024,0.407,0.536,45
baseline,0.5,0.616,0.008,0.601,0.639,45
baseline,1.0,0.668,0.008,0.646,0.681,45
baseline,2.0,0.761,0.011,0.742,0.785,45
baseline,5.0,0.750,0.026,0.667,0.792,45
baseline,7.5,0.710,0.036,0.637,0.807,45
baseline,10.0,0.614,0.082,0.426,0.826,45
baseline,15.0,0.192,0.241,0.000,0.750,44
